Poster,Rank & Title,IMDb Rating,Your Rating,Watchlist
"https://m.media-amazon.com/images/M/MV5BZjRiMjYwNmQtYWQ1MS00MWJhLThjNDgtNDE5NWY2Nzk3NDdjXkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_UY67_CR2,0,45,67_AL_.jpg",72. Theeran Adhigaaram Ondru (2017),8.1,,
"https://m.media-amazon.com/images/M/MV5BMTU4NTE0NTMyNl5BMl5BanBnXkFtZTgwNjI5MDkxNjE@._V1_UX45_CR0,0,45,67_AL_.jpg",73. Masaan (2015),8.1,,
"https://m.media-amazon.com/images/M/MV5BOWIyZWJiY2MtYWI5OC00ZmVjLWI0YWItMDJjYzE4OTE2ZDVhXkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_UX45_CR0,0,45,67_AL_.jpg",74. Baasha (1995),8.0,,
"https://m.media-amazon.com/images/M/MV5BOWJlMmY0OTAtZTc2ZC00NjU2LWExZjAtZDQyNTkwMGZmNDVhXkEyXkFqcGdeQXVyOTA0NTIzNzU@._V1_UY67_CR1,0,45,67_AL_.jpg",75. The Legend of Bhagat Singh (2002),8.0,,
"https://m.media-amazon.com/images/M/MV5BY2NmNjlhYzQtMWU5MS00YTVmLWIyOWEtOGFmY2ZjMjY2ZGRkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX45_CR0,0,45,67_AL_.jpg",76. Omkara (2006),8.0,,
"https://m.media-amazon.com/images/M/MV5BMTQzMTEyODY2Ml5BMl5BanBnXkFtZTgwMjA0MDUyMjE@._V1_UY67_CR0,0,45,67_AL_.jpg",77. Barfi! (2012),8.0,,
"https://m.media-amazon.com/images/M/MV5BN2ZmMDMwODgtMzA5MS00MGU0LWEyYTgtYzQ5MmQzMzU2NTVkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY67_CR0,0,45,67_AL_.jpg",78. Lage Raho Munna Bhai (2006),8.0,,
"https://m.media-amazon.com/images/M/MV5BMDhjNTk0M2YtYzIzMy00MWFkLWI4OWUtNTY2NDVhYWJmN2UwXkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_UX45_CR0,0,45,67_AL_.jpg",79. Bommarillu (2006),8.0,,
"https://m.media-amazon.com/images/M/MV5BMTU2MzkxODgyMF5BMl5BanBnXkFtZTcwMDk3NDgxMQ@@._V1_UY67_CR1,0,45,67_AL_.jpg",80. Bombay (1995),8.0,,
"https://m.media-amazon.com/images/M/MV5BMTU2NTYyOTA3NV5BMl5BanBnXkFtZTcwMDMyNjEzMQ@@._V1_UY67_CR0,0,45,67_AL_.jpg",81. Deewaar (1975),8.0,,
"https://m.media-amazon.com/images/M/MV5BMTQyMDA5ODkzN15BMl5BanBnXkFtZTgwMjIzMDkyMDE@._V1_UY67_CR0,0,45,67_AL_.jpg",82. Lucia (2013),8.0,,
"https://m.media-amazon.com/images/M/MV5BNzA0ODUwMzUzNV5BMl5BanBnXkFtZTgwMDA0NTQwMDE@._V1_UY67_CR0,0,45,67_AL_.jpg",83. Ugly (2013),8.0,,
"https://m.media-amazon.com/images/M/MV5BMDQ2ZmE2NTMtZDE3NC00YzFjLWJhNmEtMDEzMTI5ZjU2ZGM0XkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_UY67_CR2,0,45,67_AL_.jpg",84. Dilwale Dulhania Le Jayenge (1995),8.0,,
"https://m.media-amazon.com/images/M/MV5BNDcyMDE0ZWUtYjI3Ny00N2U2LWEzMTAtYzE4OTEzZjgyNzQ1XkEyXkFqcGdeQXVyNjQ1MDcxNzM@._V1_UY67_CR1,0,45,67_AL_.jpg",85. Mother India (1957),8.0,,
"https://m.media-amazon.com/images/M/MV5BYTMxYjEwYjctMjg4Ni00N2UyLThkNDEtNTY4ODExNmIzYjE5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY67_CR1,0,45,67_AL_.jpg",86. Gulaal (2009),8.0,,
"https://m.media-amazon.com/images/M/MV5BOGNlNmRkMjctNDgxMC00NzFhLWIzY2YtZDk3ZDE0NWZhZDBlXkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_UX45_CR0,0,45,67_AL_.jpg",87. Baahubali 2: The Conclusion (2017),8.0,,
"https://m.media-amazon.com/images/M/MV5BMTI4NTM0MjE4N15BMl5BanBnXkFtZTcwODUwOTQyMQ@@._V1_UY67_CR0,0,45,67_AL_.jpg",88. Padosan (1968),8.0,,
"https://m.media-amazon.com/images/M/MV5BMjA1NTEwMDMxMF5BMl5BanBnXkFtZTgwODkzMzI0MjE@._V1_UY67_CR0,0,45,67_AL_.jpg",89. Haider (2014),8.0,,
"https://m.media-amazon.com/images/M/MV5BM2Y4ZmIxYmYtYzNlYi00OTNiLWJjMmEtNzk0ZjcyZjllMzMxXkEyXkFqcGdeQXVyNjY1NTEzNjE@._V1_UY67_CR1,0,45,67_AL_.jpg",90. Indian (1996),8.0,,
"https://m.media-amazon.com/images/M/MV5BNzk5MGE5MDgtZGMyMi00YzE5LWFhYmEtNzYxMDU3NDBlYzdmXkEyXkFqcGdeQXVyODA2ODM3NDQ@._V1_UY67_CR1,0,45,67_AL_.jpg",91. Vedam (2010),8.0,,
"https://m.media-amazon.com/images/M/MV5BYjU1NjczNzYtYmFjOC00NzkxLTg4YTUtNGYzMTk3NTU0ZDE3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY67_CR0,0,45,67_AL_.jpg",92. Dev.D (2009),8.0,,
"https://m.media-amazon.com/images/M/MV5BYTNkMTMyMDEtZDQxYi00ZjBkLTkyYzYtYzdjY2JmYmRmMjBiXkEyXkFqcGdeQXVyNjE3MDAwMDk@._V1_UY67_CR1,0,45,67_AL_.jpg",93. Athadu (2005),8.0,,
"https://m.media-amazon.com/images/M/MV5BMTQ1NDI5MjMzNF5BMl5BanBnXkFtZTcwMTc0MDQwOQ@@._V1_UY67_CR0,0,45,67_AL_.jpg",94. Special 26 (2013),8.0,,
"https://m.media-amazon.com/images/M/MV5BMGRkNDJlZmEtZGNhNi00OTRhLWE5NDUtYmMwNGZjMzU0MDk5XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg",95. Company (2002),7.9,,
"https://m.media-amazon.com/images/M/MV5BNzdhNWYwMGUtOGRjYS00ODg4LWE2NTktNzJhMGZhNGQyYzA5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UX45_CR0,0,45,67_AL_.jpg",96. Vaastav: The Reality (1999),7.9,,
"https://m.media-amazon.com/images/M/MV5BNjZlMDdmN2YtYThmZi00NGQzLTk0ZTQtNTUyZDFmODExOGNiXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY67_CR0,0,45,67_AL_.jpg",97. Badhaai Ho (2018),7.9,,
